FBID Symbol status
FBgn0000014 abd-A nv
FBgn0023416 Ac3 nv
FBgn0000117 arm nv
FBgn0037834 Art1 nv
FBgn0020407 asun nv
FBgn0011785 BRWD3 nv
FBgn0038439 Cad89D nv
FBgn0039294 Cad96Cb nv
FBgn0015614 CanB2 nv
FBgn0039324 CG10553 nv
FBgn0032845 CG10747 nv
FBgn0031398 CG10880 nv
FBgn0036305 CG10984 nv
FBgn0035300 CG1139 nv
FBgn0038690 CG11703 nv
FBgn0039627 CG11837 nv
FBgn0039271 CG11839 nv
FBgn0028504 CG12182 nv
FBgn0033556 CG12343 nv
FBgn0037769 CG12419 nv
FBgn0030224 CG12637 nv
FBgn0040801 CG13053 nv
FBgn0032789 CG13083 nv
FBgn0033792 CG13325 nv
FBgn0030559 CG13404 nv
FBgn0033195 CG1360 nv
FBgn0039150 CG13605 nv
FBgn0033474 CG1407 nv
FBgn0036178 CG14137 nv
FBgn0030996 CG14194 nv
FBgn0037347 CG1427 nv
FBgn0037883 CG14701 nv
FBgn0040777 CG14767 nv
FBgn0031580 CG15423 nv
FBgn0030465 CG15743 nv
FBgn0030289 CG1597 nv
FBgn0036481 CG16959 nv
FBgn0031497 CG17259 nv
FBgn0042111 CG18766 nv
FBgn0037378 CG2046 nv
FBgn0030223 CG2111 nv
FBgn0034703 CG3045 nv
FBgn0051300 CG31300 nv
FBgn0051365 CG31365 nv
FBgn0051496 CG31496 nv
FBgn0023525 CG3191 nv
FBgn0047178 CG32147 nv
FBgn0052232 CG32232 nv
FBgn0033093 CG3270 nv
FBgn0053017 CG33017 nv
FBgn0031573 CG3407 nv
FBgn0083949 CG34113 nv
FBgn0085268 CG34239 nv
FBgn0085477 CG34448 nv
FBgn0085489 CG34460 nv
FBgn0025681 CG3558 nv
FBgn0032130 CG3838 nv
FBgn0028888 CG4168 nv
FBgn0038388 CG4287 nv
FBgn0036274 CG4328 nv
FBgn0032166 CG4619 nv
FBgn0036784 CG5103 nv
FBgn0027579 CG5508 nv
FBgn0038855 CG5745 nv
FBgn0026576 CG5991 nv
FBgn0037878 CG6693 nv
FBgn0035099 CG6845 nv
FBgn0031740 CG7239 nv
FBgn0038639 CG7705 nv
FBgn0034109 CG7747 nv
FBgn0035714 CG8549 nv
FBgn0030562 CG9400 nv
FBgn0038211 CG9649 nv
FBgn0037621 CG9797 nv
FBgn0045761 CHKov1 nv
FBgn0022702 Cht2 nv
FBgn0053302 Cpr31A nv
FBgn0035735 Cpr65Ea nv
FBgn0036617 Cpr72Ea nv
FBgn0024698 Cpsf160 nv
FBgn0027053 CSN5 nv
FBgn0037384 dgrn nv
FBgn0000454 Dip-B nv
FBgn0035954 Doc3 nv
FBgn0260006 drd nv
FBgn0028737 Ef1beta nv
FBgn0014849 Eig71Ei nv
FBgn0083228 Frq2 nv
FBgn0259878 Fs nv
FBgn0032223 GATAd nv
FBgn0015229 glec nv
FBgn0040322 GNBP2 nv
FBgn0015239 Hr78 nv
FBgn0034457 Ir56c nv
FBgn0039080 Ir94h nv
FBgn0024222 ird5 nv
FBgn0004380 Klp64D nv
FBgn0010238 Lac nv
FBgn0033984 Lap1 nv
FBgn0261618 larp nv
FBgn0002531 Lcp1 nv
FBgn0031759 lid nv
FBgn0025687 LKR nv
FBgn0019686 lok nv
FBgn0033845 mars nv
FBgn0261786 mi nv
FBgn0002780 mod nv
FBgn0013756 Mtor nv
FBgn0004177 mts nv
FBgn0030252 Myo10A nv
FBgn0034797 nahoda nv
FBgn0039302 Nup358 nv
FBgn0034310 Nup75 nv
FBgn0029521 Or1a nv
FBgn0005648 Pabp2 nv
FBgn0262728 Pal2 nv
FBgn0003044 Pcl nv
FBgn0015279 Pi3K92E nv
FBgn0025741 plexA nv
FBgn0004103 Pp1-87B nv
FBgn0039270 PQBP1 nv
FBgn0026380 Prosbeta3 nv
FBgn0031479 Prx6005 nv
FBgn0020912 Ptx1 nv
FBgn0014011 Rac2 nv
FBgn0020255 ran nv
FBgn0053547 Rim nv
FBgn0032256 RluA-2 nv
FBgn0013325 RpL11 nv
FBgn0033485 RpLP0-like nv
FBgn0019932 SamDC nv
FBgn0037912 sea nv
FBgn0002573 sens nv
FBgn0032475 Sfmbt nv
FBgn0030300 Sk1 nv
FBgn0037263 slx1 nv
FBgn0022359 Sodh-2 nv
FBgn0016977 spen nv
FBgn0039349 Ssadh nv
FBgn0028675 Sur nv
FBgn0028560 sut4 nv
FBgn0035540 Syx17 nv
FBgn0023477 Tal nv
FBgn0028541 TM9SF4 nv
FBgn0020245 ttv nv
FBgn0029170 TwdlT nv
FBgn0017456 Ubc84D nv
FBgn0026756 Ugt37a1 nv
FBgn0039338 XNP nv
